model,T,forward,log_moneyness,strike,call_price,put_price,otm_type,otm_price,implied_vol
Heston Monte Carlo,0.019178082191780823,100.03836352130087,-0.09177215189873417,91.26629900392588,8.759987312434198,0.00024284765280752603,P,0.00024284765280752603,0.19606352813204292
Heston Monte Carlo,0.019178082191780823,100.03836352130087,-0.08227848101265822,92.1368771621747,7.890792745341813,0.0011257022862241573,P,0.0011257022862241573,0.19999594456323447
Heston Monte Carlo,0.019178082191780823,100.03836352130087,-0.07278481012658228,93.01575965989922,7.014647628928686,0.003357570609767227,P,0.003357570609767227,0.19867957598600272
Heston Monte Carlo,0.019178082191780823,100.03836352130087,-0.06329113924050633,93.90302571118664,6.133228822516305,0.008694480469862834,P,0.008694480469862834,0.1957921034814398
Heston Monte Carlo,0.019178082191780823,100.03836352130087,-0.05379746835443039,94.79875528573768,5.252127919701022,0.02280794916685385,P,0.02280794916685385,0.19502782292533594
Heston Monte Carlo,0.019178082191780823,100.03836352130087,-0.044303797468354444,95.70302911607442,4.3787524077387605,0.053186150043289804,P,0.053186150043289804,0.19316532679144188
Heston Monte Carlo,0.019178082191780823,100.03836352130087,-0.034810126582278444,96.61592870481661,3.527787655047384,0.11459590725826756,P,0.11459590725826756,0.19111289673206067
Heston Monte Carlo,0.019178082191780823,100.03836352130087,-0.0253164556962025,97.53753633202761,2.721467947658371,0.22935373958111108,P,0.22935373958111108,0.1890930583061129
Heston Monte Carlo,0.019178082191780823,100.03836352130087,-0.015822784810126556,98.46793506263037,1.9869090680970016,0.4246584466829927,P,0.4246584466829927,0.18680021198118835
Heston Monte Carlo,0.019178082191780823,100.03836352130087,-0.006329113924050611,99.40720875389401,1.3536205529296392,0.7301033741666062,P,0.7301033741666062,0.18424035081804277
Heston Monte Carlo,0.019178082191780823,100.03836352130087,0.0031645569620253333,100.355442062992,0.8476228994564841,1.171793627812771,C,0.8476228994564841,0.18040878265164173
Heston Monte Carlo,0.019178082191780823,100.03836352130087,0.012658227848101333,101.31272045463236,0.48115137143361597,1.7620498869282681,C,0.48115137143361597,0.17817521966508576
Heston Monte Carlo,0.019178082191780823,100.03836352130087,0.022151898734177222,102.27913020876052,0.24251052167647913,2.4892629346477326,C,0.24251052167647913,0.17574271220715126
Heston Monte Carlo,0.019178082191780823,100.03836352130087,0.03164556962025322,103.25475842833589,0.10524792223826003,3.3270673958841477,C,0.10524792223826003,0.17269619774683936
Heston Monte Carlo,0.019178082191780823,100.03836352130087,0.04113924050632911,104.23969304718243,0.038688354823915014,4.244875935588874,C,0.038688354823915014,0.16965876368161184
Heston Monte Carlo,0.019178082191780823,100.03836352130087,0.05063291139240511,105.23402283791422,0.011687067347443942,5.211632523230075,C,0.011687067347443942,0.16649560106906264
Heston Monte Carlo,0.019178082191780823,100.03836352130087,0.060126582278481,106.23783741993648,0.0026525240299062184,6.205835190886956,C,0.0026525240299062184,0.16223968042899967
Heston Monte Carlo,0.019178082191780823,100.03836352130087,0.069620253164557,107.25122726752315,0.0004778896165243144,7.216467525540018,C,0.0004778896165243144,0.1587838031318343
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.1962025316455696,82.2476466954091,17.809081549314456,0.00011161650955665125,P,0.00011161650955665125,0.26896954528969763
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.18670886075949367,83.03219702298739,17.02547339069339,0.00015153442964675732,P,0.00015153442964675732,0.26152850145081996
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.17721518987341772,83.8242310809973,16.234429302503656,0.00023064674969771885,P,0.00023064674969771885,0.25578976626332284
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.16772151898734178,84.62382025583585,15.4359364776332,0.00040745065827263053,P,0.00040745065827263053,0.2525282001077366
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.15822784810126583,85.43103661484625,14.630050083035579,0.0008090975731384896,P,0.0008090975731384896,0.2516079043942452
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.1487341772151899,86.24595291281338,13.816739602900226,0.0014777427989596647,P,0.0014777427989596647,0.24943114277140138
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.1392405063291139,87.06864259852115,12.996284284279351,0.0027659977040999373,P,0.0027659977040999373,0.2481478547719538
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.12974683544303794,87.89917982137254,12.169042967593946,0.005106766838996281,P,0.005106766838996281,0.24707780238876373
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.120253164556962,88.73763943807268,11.335223900611247,0.00878306858899491,P,0.00878306858899491,0.2447013652063218
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.11075949367088606,89.58409701937575,10.495465943818774,0.014509247287792114,P,0.014509247287792114,0.24156455902258148
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.10126582278481011,90.43862885689614,9.651267211951188,0.02385962154722753,P,0.02385962154722753,0.2386622598626604
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.09177215189873417,91.30131196998478,8.804236783223072,0.03852020035875945,P,0.03852020035875945,0.23559740766089105
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.08227848101265822,92.17222411267078,7.958026918912124,0.062220909610269166,P,0.062220909610269166,0.23314982674711646
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.07278481012658228,93.05144378066953,7.116280661256956,0.09868319698399176,P,0.09868319698399176,0.2307294590789178
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.06329113924050633,93.93905021845752,6.283393366718169,0.1523815722838841,P,0.1523815722838841,0.2279321944787518
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.05379746835443039,94.8351234264147,5.465271565035604,0.22930247362752978,P,0.22930247362752978,0.2246898647909057
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.044303797468354444,95.73974416803496,4.669481941472469,0.3370932568921254,P,0.3370932568921254,0.22102971585724557
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.034810126582278444,96.65299397720533,3.9075377898822232,0.4873486560522837,P,0.4873486560522837,0.21740328545733195
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.0253164556962025,97.5749551655547,3.1891413890404,0.6898531668521835,P,0.6898531668521835,0.21349340703240097
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.015822784810126556,98.50571082987265,2.5265538052953835,0.9569508568665207,P,0.9569508568665207,0.20937149905394425
Heston Monte Carlo,0.038356164383561646,100.07674176019941,-0.006329113924050611,99.44534485959892,1.9302690546048444,1.2992195350179259,P,1.2992195350179259,0.20484902923694653
Heston Monte Carlo,0.038356164383561646,100.07674176019941,0.0031645569620253333,100.39394194438444,1.4125231133733946,1.7289797699668747,C,1.4125231133733946,0.20018305192471336
Heston Monte Carlo,0.038356164383561646,100.07674176019941,0.012658227848101333,101.35158758172447,0.9834687415735986,2.2564697208570923,C,0.9834687415735986,0.19555841602148472
Heston Monte Carlo,0.038356164383561646,100.07674176019941,0.022151898734177222,102.31836808466451,0.6458589169380918,2.8845285792047455,C,0.6458589169380918,0.19100713574069889
Heston Monte Carlo,0.038356164383561646,100.07674176019941,0.03164556962025322,103.29437058957971,0.39504277304487506,3.608592514754085,C,0.39504277304487506,0.18632370078683938
Heston Monte Carlo,0.038356164383561646,100.07674176019941,0.04113924050632911,104.27968306402856,0.22143337205344993,4.419162456058434,C,0.22143337205344993,0.1813801614082487
Heston Monte Carlo,0.038356164383561646,100.07674176019941,0.05063291139240511,105.27439431468142,0.11110930582800436,5.30240569952253,C,0.11110930582800436,0.1759979504714399
Heston Monte Carlo,0.038356164383561646,100.07674176019941,0.060126582278481,106.27859399532467,0.04979440250074022,6.244135623961127,C,0.04979440250074022,0.17098338377683817
Heston Monte Carlo,0.038356164383561646,100.07674176019941,0.069620253164557,107.29237261494137,0.01999720994188424,7.2269511821400245,C,0.01999720994188424,0.16673055512771676
Heston Monte Carlo,0.038356164383561646,100.07674176019941,0.07911392405063289,108.31582154586869,0.006922340839009352,8.236148254003602,C,0.006922340839009352,0.16248439474821622
Heston Monte Carlo,0.038356164383561646,100.07674176019941,0.08860759493670889,109.34903303203352,0.0022764438139817526,9.263525626018088,C,0.0022764438139817526,0.16004503741275908
Heston Monte Carlo,0.038356164383561646,100.07674176019941,0.09810126582278478,110.39210019726633,0.0007528550031972373,10.303869651055763,C,0.0007528550031972373,0.159441242362392
Heston Monte Carlo,0.038356164383561646,100.07674176019941,0.10759493670886078,111.4451170536946,0.00018168021991286036,11.355104338941215,C,0.00018168021991286036,0.15651823058845282
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.310126582278481,73.45606257125651,26.63297183431816,0.00012988711103730224,P,0.00012988711103730224,0.2861619089943266
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.30063291139240506,74.15675104403816,25.934058547359786,0.00017947625527909425,P,0.00017947625527909425,0.28327346791428804
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.2911392405063291,74.86412329918852,25.228597463946937,0.0003485910561647982,P,0.0003485910561647982,0.2865874861571717
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.28164556962025317,75.57824309249708,24.516455600719034,0.0005678469303058382,P,0.0005678469303058382,0.2870869730793906
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.2721518987341772,76.29917478791202,23.797689446020005,0.0009579376597842338,P,0.0009579376597842338,0.28865040290872224
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.2626582278481012,77.02698336334147,23.072162130549025,0.0014468118297581787,P,0.0014468118297581787,0.28817058551923996
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.25316455696202533,77.7617344165099,22.33983055510642,0.0020568064162825284,P,0.0020568064162825284,0.286472598204597
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.24367088607594933,78.50349417087055,21.600681442854157,0.0028407049452883444,P,0.0028407049452883444,0.2841660474680144
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.2341772151898734,79.25232948157418,20.854653551639114,0.0038039557691159982,P,0.0038039557691159982,0.2811268066369957
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.22468354430379744,80.00830784149461,20.101704706313296,0.004971710397528065,P,0.004971710397528065,0.27745247831716535
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.2151898734177215,80.77149738731214,19.341909656281167,0.006486687114242717,P,0.006486687114242717,0.2736957465760979
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.20569620253164556,81.54196690565452,18.57534132439624,0.008490425998499265,P,0.008490425998499265,0.26999101988749297
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.1962025316455696,82.31978583929678,17.80217796610273,0.011230454251805261,P,0.011230454251805261,0.26656285875009267
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.18670886075949367,83.10502429342024,17.022342545290673,0.01469966829633816,P,0.01469966829633816,0.2628116404386558
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.17721518987341772,83.89775304193098,16.236106627604514,0.019240233386579392,P,0.019240233386579392,0.25903589109065284
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.16772151898734178,84.6980435338388,15.443871824562143,0.025325034091515267,P,0.025325034091515267,0.25542673672446375
Heston Monte Carlo,0.0821917808219178,100.1645187454837,-0.15822784810126583,85.50596789969696,14.646167348084663,0.03355523524861251,P,0.03355523524861251,0.25205298345176363
