T,log_moneyness,price_heston_sc,iv_heston_sc,price_heston_mc,iv_heston_mc,price_abs_error,iv_abs_error
0.019178082191780823,-0.09177215189873417,0.003321474641651889,0.24456382748877764,0.00024284765280752603,0.19606352813204292,0.0030786269888443633,0.04850029935673472
0.019178082191780823,-0.08227848101265822,0.007393083827267333,0.24197571931200046,0.0011257022862241573,0.19999594456323447,0.006267381541043175,0.04197977474876599
0.019178082191780823,-0.07278481012658228,0.01406356116807217,0.23557444124624694,0.003357570609767227,0.19867957598600272,0.010705990558304943,0.036894865260244214
0.019178082191780823,-0.06329113924050633,0.027336946309532095,0.23029671073226246,0.008694480469862834,0.1957921034814398,0.01864246583966926,0.03450460725082266
0.019178082191780823,-0.05379746835443039,0.053643433651046735,0.22637139097907524,0.02280794916685385,0.19502782292533594,0.030835484484192884,0.03134356805373931
0.019178082191780823,-0.044303797468354444,0.10103108000856764,0.22220809036887257,0.053186150043289804,0.19316532679144188,0.04784492996527784,0.029042763577430686
0.019178082191780823,-0.034810126582278444,0.18123277595012155,0.21733795317885335,0.11459590725826756,0.19111289673206067,0.06663686869185399,0.026225056446792683
0.019178082191780823,-0.0253164556962025,0.3125279053225398,0.21221249856212676,0.22935373958111108,0.1890930583061129,0.08317416574142875,0.023119440256013868
0.019178082191780823,-0.015822784810126556,0.5189989496920475,0.20717863486381766,0.4246584466829927,0.18680021198118835,0.09434050300905483,0.02037842288262931
0.019178082191780823,-0.006329113924050611,0.8259555831140233,0.20214491784881367,0.7301033741666062,0.18424035081804277,0.09585220894741708,0.017904567030770896
0.019178082191780823,0.0031645569620253333,0.9380153037108769,0.19686935964473012,0.8476228994564841,0.18040878265164173,0.09039240425439288,0.016460576993088394
0.019178082191780823,0.012658227848101333,0.5456076071138654,0.19128358720488842,0.48115137143361597,0.17817521966508576,0.06445623568024939,0.013108367539802657
0.019178082191780823,0.022151898734177222,0.2795939727397112,0.1855716624659543,0.24251052167647913,0.17574271220715126,0.037083451063232076,0.009828950258803038
0.019178082191780823,0.03164556962025322,0.12306782849416997,0.18004844929163077,0.10524792223826003,0.17269619774683936,0.017819906255909942,0.0073522515447914105
0.019178082191780823,0.04113924050632911,0.04537319807878948,0.17490200732072722,0.038688354823915014,0.16965876368161184,0.006684843254874465,0.00524324363911538
0.019178082191780823,0.05063291139240511,0.013327524103610155,0.169583866720311,0.011687067347443942,0.16649560106906264,0.0016404567561662132,0.0030882656512483675
0.019178082191780823,0.060126582278481,0.0024997563372603504,0.16125486268766792,0.0026525240299062184,0.16223968042899967,0.000152767692645868,0.000984817741331745
0.038356164383561646,-0.1962025316455696,0.0003560949169525429,0.28977275836759814,0.00011161650955665125,0.26896954528969763,0.00024447840739589167,0.020803213077900506
0.038356164383561646,-0.18670886075949367,0.0006068893082726845,0.28726101864178655,0.00015153442964675732,0.26152850145081996,0.00045535487862592716,0.025732517190966586
0.038356164383561646,-0.17721518987341772,0.0006257497316113358,0.27422369471614005,0.00023064674969771885,0.25578976626332284,0.00039510298191361697,0.018433928452817216
0.038356164383561646,-0.16772151898734178,0.0009063261332045158,0.2679485177267372,0.00040745065827263053,0.2525282001077366,0.0004988754749318852,0.015420317619000645
0.038356164383561646,-0.15822784810126583,0.0018271410749264305,0.2688792442530435,0.0008090975731384896,0.2516079043942452,0.0010180435017879408,0.017271339858798307
0.038356164383561646,-0.1487341772151899,0.003196098415159554,0.2671370004897433,0.0014777427989596647,0.24943114277140138,0.0017183556161998893,0.017705857718341933
0.038356164383561646,-0.1392405063291139,0.004878802415419159,0.26216016167256384,0.0027659977040999373,0.2481478547719538,0.0021128047113192217,0.014012306900610033
0.038356164383561646,-0.12974683544303794,0.0074952398633598705,0.2573399340592184,0.005106766838996281,0.24707780238876373,0.0023884730243635896,0.010262131670454672
0.038356164383561646,-0.120253164556962,0.012066974172114442,0.25395781750981505,0.00878306858899491,0.2447013652063218,0.003283905583119532,0.009256452303493257
0.038356164383561646,-0.11075949367088606,0.01932192197614313,0.2506864910936665,0.014509247287792114,0.24156455902258148,0.004812674688351016,0.009121932071084998
0.038356164383561646,-0.10126582278481011,0.02999922897357976,0.2466670891341797,0.02385962154722753,0.2386622598626604,0.00613960742635223,0.008004829271519298
0.038356164383561646,-0.09177215189873417,0.045840858248183736,0.24231075329432256,0.03852020035875945,0.23559740766089105,0.0073206578894242855,0.006713345633431511
0.038356164383561646,-0.08227848101265822,0.06983337596608408,0.23812809048783232,0.062220909610269166,0.23314982674711646,0.0076124663558149105,0.00497826374071586
